ID;İlçe Adı;Mahalle;Sokak;İhbar Tipi;Tahmini Zarar;Yangın Cinsi;Yangın Nedeni;Müdahale Eden Amirlik;İhbar Saati;Çıkış Tarihi;Olay Yerine Ulaşım Saati;Yangın Söndürme Saati;Geri Dönüş Saati
9764;KARESİ;ZİYARETLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Dikkatsizlik;Karesi Grup Amirliği;18.11.2017 18:54:00;18.11.2017 18:55:00;18.11.2017 19:06:00;18.11.2017 19:28:00;18.11.2017 19:42:00
9763;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Dikkatsizlik;Erdek Grup Amirliği;13.11.2019 15:28:00;13.11.2019 15:29:00;13.11.2019 15:33:00;13.11.2019 15:55:00;13.11.2019 16:02:00
9762;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Tedbirsizlik;Erdek Grup Amirliği;25.10.2019 10:58:00;25.10.2019 10:59:00;25.10.2019 11:03:00;25.10.2019 12:20:00;25.10.2019 12:25:00
9761;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Baca Yangını;Dikkatsizlik;Erdek Grup Amirliği;16.10.2019 18:10:00;16.10.2019 18:11:00;16.10.2019 18:15:00;16.10.2019 18:55:00;16.10.2019 19:00:00
9760;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Ot Yangını;Doğal Olaylar;Erdek Grup Amirliği;19.08.2019 17:03:00;19.08.2019 17:03:00;19.08.2019 17:05:00;19.08.2019 17:40:00;19.08.2019 17:45:00
9759;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Ot Yangını;Doğal Olaylar;Erdek Grup Amirliği;20.07.2019 17:17:00;20.07.2019 17:18:00;20.07.2019 17:25:00;20.07.2019 18:08:00;20.07.2019 18:15:00
9758;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Asılsız İhbar;Asılsız İhbar;Erdek Grup Amirliği;11.06.2019 17:29:00;11.06.2019 17:30:00;11.06.2019 17:33:00;11.06.2019 17:34:00;11.06.2019 17:40:00
9757;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;BASLANGIC_HALINDE;Baca Yangını;İhmal;Erdek Grup Amirliği;15.02.2019 10:20:00;15.02.2019 10:20:00;15.02.2019 10:23:00;15.02.2019 10:55:00;15.02.2019 10:58:00
9756;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;KISMEN;Baca Yangını;Dikkatsizlik;Erdek Grup Amirliği;13.02.2019 14:36:00;13.02.2019 14:37:00;13.02.2019 14:43:00;13.02.2019 15:55:00;13.02.2019 16:05:00
9755;ERDEK;ZEYTİNLİ;;YUZ_ON_IKI_CAGRI;TAMAMEN;Araç Yangını;Trafik Kazası;Erdek Grup Amirliği;19.01.2019 10:20:00;19.01.2019 10:21:00;19.01.2019 10:24:00;19.01.2019 11:15:00;19.01.2019 11:20:00
